course code,course title,credit,practical,lecture
MX3081,Introduction to Women and Gender Studies,0,0,2
MX3082,Elements of Literature,0,0,2
MX3083,Film Appreciation,0,0,2
MX3084,Disaster Risk Reduction and Management,0,0,2
MX3085,"Well Being with Traditional Practices - Yoga, Ayurveda and Siddha",0,0,2
MX3086,History of Science and Technology in India,0,0,2
MX3087,Political and Economic Thought for a Humane Society,0,0,2
MX3088,"State, Nation Building and Politics in India",0,0,2
MX3089,Industrial Safety,0,0,2
