course code,course title,credit,practical,lecture
GE3751,Principles of Management,3,0,3
GE3752,Total Quality Management,3,0,3
GE3753,Engineering Economics and Financial Accounting,3,0,3
GE3754,Human Resource Management,3,0,3
GE3755,Knowledge Management,3,0,3
GE3792,Industrial Management,3,0,3
